series_id	year	period	value	footnote_codes
LAUCN130770000000006	2019	M13	74594	
LAUCN130790000000006	2019	M13	5605	
LAUCN130810000000006	2019	M13	9433	
LAUCN130830000000006	2019	M13	8209	
LAUCN130850000000006	2019	M13	12320	
LAUCN130870000000006	2019	M13	11540	
LAUCN130890000000006	2019	M13	399354	
LAUCN130910000000006	2019	M13	7081	
LAUCN130930000000006	2019	M13	5071	
LAUCN130950000000006	2019	M13	38327	
LAUCN130970000000006	2019	M13	73217	
LAUCN130990000000006	2019	M13	4372	
LAUCN131010000000006	2019	M13	1909	
LAUCN131030000000006	2019	M13	30889	
LAUCN131050000000006	2019	M13	7658	
LAUCN131070000000006	2019	M13	8287	
LAUCN131090000000006	2019	M13	4862	
LAUCN131110000000006	2019	M13	11512	
LAUCN131130000000006	2019	M13	57985	
LAUCN131150000000006	2019	M13	44144	
LAUCN131170000000006	2019	M13	122076	
LAUCN131190000000006	2019	M13	9942	
LAUCN131210000000006	2019	M13	556954	
LAUCN131230000000006	2019	M13	11861	
LAUCN131250000000006	2019	M13	1272	
LAUCN131270000000006	2019	M13	39345	
LAUCN131290000000006	2019	M13	27976	
LAUCN131310000000006	2019	M13	10449	
LAUCN131330000000006	2019	M13	7010	
LAUCN131350000000006	2019	M13	489610	
LAUCN131370000000006	2019	M13	19069	
LAUCN131390000000006	2019	M13	102061	
LAUCN131410000000006	2019	M13	2447	
LAUCN131430000000006	2019	M13	12557	
LAUCN131450000000006	2019	M13	16649	
LAUCN131470000000006	2019	M13	11303	
LAUCN131490000000006	2019	M13	5248	
LAUCN131510000000006	2019	M13	115495	
LAUCN131530000000006	2019	M13	70345	
LAUCN131550000000006	2019	M13	3328	
LAUCN131570000000006	2019	M13	36518	
LAUCN131590000000006	2019	M13	6939	
LAUCN131610000000006	2019	M13	6051	
LAUCN131630000000006	2019	M13	6572	
LAUCN131650000000006	2019	M13	3143	
LAUCN131670000000006	2019	M13	4036	
LAUCN131690000000006	2019	M13	13696	
LAUCN131710000000006	2019	M13	8232	
LAUCN131730000000006	2019	M13	3748	
LAUCN131750000000006	2019	M13	19142	
LAUCN131770000000006	2019	M13	14717	
LAUCN131790000000006	2019	M13	26096	
LAUCN131810000000006	2019	M13	3554	
LAUCN131830000000006	2019	M13	8137	
LAUCN131850000000006	2019	M13	51180	
LAUCN131870000000006	2019	M13	16719	
LAUCN131890000000006	2019	M13	8852	
LAUCN131910000000006	2019	M13	6167	
LAUCN131930000000006	2019	M13	4693	
LAUCN131950000000006	2019	M13	13282	
LAUCN131970000000006	2019	M13	3305	
LAUCN131990000000006	2019	M13	8911	
LAUCN132010000000006	2019	M13	2749	
LAUCN132050000000006	2019	M13	8445	
LAUCN132070000000006	2019	M13	12995	
LAUCN132090000000006	2019	M13	3807	
LAUCN132110000000006	2019	M13	9240	
LAUCN132130000000006	2019	M13	15505	
LAUCN132150000000006	2019	M13	77490	
LAUCN132170000000006	2019	M13	52197	
LAUCN132190000000006	2019	M13	19510	
LAUCN132210000000006	2019	M13	6929	
LAUCN132230000000006	2019	M13	85916	
LAUCN132250000000006	2019	M13	11826	
LAUCN132270000000006	2019	M13	15271	
LAUCN132290000000006	2019	M13	8698	
LAUCN132310000000006	2019	M13	8899	
LAUCN132330000000006	2019	M13	18429	
LAUCN132350000000006	2019	M13	4052	
LAUCN132370000000006	2019	M13	8185	
LAUCN132390000000006	2019	M13	800	
LAUCN132410000000006	2019	M13	7152	
LAUCN132430000000006	2019	M13	2527	
LAUCN132450000000006	2019	M13	85085	
LAUCN132470000000006	2019	M13	44751	
LAUCN132490000000006	2019	M13	2200	
LAUCN132510000000006	2019	M13	5088	
LAUCN132530000000006	2019	M13	3037	
LAUCN132550000000006	2019	M13	28675	
LAUCN132570000000006	2019	M13	10685	
LAUCN132590000000006	2019	M13	2396	
LAUCN132610000000006	2019	M13	12686	
LAUCN132630000000006	2019	M13	2819	
LAUCN132650000000006	2019	M13	567	
LAUCN132670000000006	2019	M13	9560	
LAUCN132690000000006	2019	M13	3074	
LAUCN132710000000006	2019	M13	4107	
LAUCN132730000000006	2019	M13	3510	
LAUCN132750000000006	2019	M13	16470	
LAUCN132770000000006	2019	M13	19751	
LAUCN132790000000006	2019	M13	11655	
LAUCN132810000000006	2019	M13	3893	
LAUCN132830000000006	2019	M13	2642	
LAUCN132850000000006	2019	M13	37304	
LAUCN132870000000006	2019	M13	3139	
LAUCN132890000000006	2019	M13	2878	
LAUCN132910000000006	2019	M13	10274	
LAUCN132930000000006	2019	M13	11320	
LAUCN132950000000006	2019	M13	31358	
LAUCN132970000000006	2019	M13	46011	
LAUCN132990000000006	2019	M13	15555	
LAUCN133010000000006	2019	M13	2821	
LAUCN133030000000006	2019	M13	7013	
LAUCN133050000000006	2019	M13	11403	
LAUCN133070000000006	2019	M13	1007	
LAUCN133090000000006	2019	M13	1610	
LAUCN133110000000006	2019	M13	16266	
LAUCN133130000000006	2019	M13	43564	
LAUCN133150000000006	2019	M13	2695	
LAUCN133170000000006	2019	M13	3823	
LAUCN133190000000006	2019	M13	3959	
LAUCN133210000000006	2019	M13	8897	
LAUCN150010000000006	2019	M13	91161	
LAUCN150030000000006	2019	M13	450562	
LAUCN150070000000006	2019	M13	36536	
LAUCN150090000000006	2019	M13	86733	
LAUCN160010000000006	2019	M13	254224	
LAUCN160030000000006	2019	M13	1721	
LAUCN160050000000006	2019	M13	42752	
LAUCN160070000000006	2019	M13	2978	
LAUCN160090000000006	2019	M13	4109	
LAUCN160110000000006	2019	M13	23817	
LAUCN160130000000006	2019	M13	12318	
LAUCN160150000000006	2019	M13	3516	
LAUCN160170000000006	2019	M13	20058	
LAUCN160190000000006	2019	M13	57042	
LAUCN160210000000006	2019	M13	5376	
LAUCN160230000000006	2019	M13	1397	
LAUCN160250000000006	2019	M13	695	
LAUCN160270000000006	2019	M13	104402	
LAUCN160290000000006	2019	M13	4135	
LAUCN160310000000006	2019	M13	12215	
LAUCN160330000000006	2019	M13	378	
LAUCN160350000000006	2019	M13	2905	
LAUCN160370000000006	2019	M13	2228	
LAUCN160390000000006	2019	M13	11547	
LAUCN160410000000006	2019	M13	7041	
LAUCN160430000000006	2019	M13	7870	
LAUCN160450000000006	2019	M13	8308	
LAUCN160470000000006	2019	M13	8222	
LAUCN160490000000006	2019	M13	6563	
LAUCN160510000000006	2019	M13	14035	
LAUCN160530000000006	2019	M13	12199	
LAUCN160550000000006	2019	M13	80102	
LAUCN160570000000006	2019	M13	20549	
LAUCN160590000000006	2019	M13	3566	
LAUCN160610000000006	2019	M13	1648	
LAUCN160630000000006	2019	M13	2703	
LAUCN160650000000006	2019	M13	21941	
LAUCN160670000000006	2019	M13	11442	
LAUCN160690000000006	2019	M13	21057	
LAUCN160710000000006	2019	M13	2321	
LAUCN160730000000006	2019	M13	5434	
LAUCN160750000000006	2019	M13	11663	
LAUCN160770000000006	2019	M13	4092	
LAUCN160790000000006	2019	M13	5143	
LAUCN160810000000006	2019	M13	6626	
LAUCN160830000000006	2019	M13	41393	
LAUCN160850000000006	2019	M13	5554	
LAUCN160870000000006	2019	M13	4612	
LAUCN170010000000006	2019	M13	32358	
LAUCN170030000000006	2019	M13	2050	
LAUCN170050000000006	2019	M13	7833	
LAUCN170070000000006	2019	M13	26377	
LAUCN170090000000006	2019	M13	2993	
LAUCN170110000000006	2019	M13	17392	
LAUCN170130000000006	2019	M13	2338	
LAUCN170150000000006	2019	M13	7325	
LAUCN170170000000006	2019	M13	6131	
LAUCN170190000000006	2019	M13	109116	
LAUCN170210000000006	2019	M13	14615	
LAUCN170230000000006	2019	M13	7693	
LAUCN170250000000006	2019	M13	6508	
LAUCN170270000000006	2019	M13	20548	
LAUCN170290000000006	2019	M13	23855	
LAUCN170310000000006	2019	M13	2594759	
LAUCN170330000000006	2019	M13	8715	
LAUCN170350000000006	2019	M13	6125	
LAUCN170370000000006	2019	M13	55397	
LAUCN170390000000006	2019	M13	7490	
LAUCN170410000000006	2019	M13	10263	
LAUCN170430000000006	2019	M13	507802	
LAUCN170450000000006	2019	M13	9019	
LAUCN170470000000006	2019	M13	2715	
LAUCN170490000000006	2019	M13	19370	
LAUCN170510000000006	2019	M13	9940	
LAUCN170530000000006	2019	M13	6490	
LAUCN170550000000006	2019	M13	16456	
LAUCN170570000000006	2019	M13	15262	
LAUCN170590000000006	2019	M13	2359	
LAUCN170610000000006	2019	M13	6036	
LAUCN170630000000006	2019	M13	25443	
LAUCN170650000000006	2019	M13	4449	
LAUCN170670000000006	2019	M13	8464	
LAUCN170690000000006	2019	M13	1318	
LAUCN170710000000006	2019	M13	3638	
LAUCN170730000000006	2019	M13	25217	
LAUCN170750000000006	2019	M13	14481	
LAUCN170770000000006	2019	M13	28083	
LAUCN170790000000006	2019	M13	4667	
LAUCN170810000000006	2019	M13	17525	
LAUCN170830000000006	2019	M13	11044	
LAUCN170850000000006	2019	M13	10869	
LAUCN170870000000006	2019	M13	4155	
LAUCN170890000000006	2019	M13	274298	
LAUCN170910000000006	2019	M13	56207	
LAUCN170930000000006	2019	M13	68630	
LAUCN170950000000006	2019	M13	21856	
LAUCN170970000000006	2019	M13	378425	
LAUCN170990000000006	2019	M13	55002	
LAUCN171010000000006	2019	M13	5913	
LAUCN171030000000006	2019	M13	17724	
LAUCN171050000000006	2019	M13	16663	
LAUCN171070000000006	2019	M13	12739	
LAUCN171090000000006	2019	M13	13458	
LAUCN171110000000006	2019	M13	165574	
LAUCN171130000000006	2019	M13	88460	
LAUCN171150000000006	2019	M13	48905	
LAUCN171170000000006	2019	M13	23125	
LAUCN171190000000006	2019	M13	134999	
LAUCN171210000000006	2019	M13	17680	
LAUCN171230000000006	2019	M13	5366	
LAUCN171250000000006	2019	M13	6342	
LAUCN171270000000006	2019	M13	5652	
LAUCN171290000000006	2019	M13	6542	
LAUCN171310000000006	2019	M13	8168	
LAUCN171330000000006	2019	M13	18902	
LAUCN171350000000006	2019	M13	11823	
